edition,edition_id,year,country,country_noc,gold,silver,bronze,total,Logo
1924 Winter Olympics,29,1924,Norway,NOR,4,7,6,17,https://i.postimg.cc/PrbP2r6N/1924.png
1924 Winter Olympics,29,1924,Finland,FIN,4,4,3,11,https://i.postimg.cc/PrbP2r6N/1924.png
1924 Winter Olympics,29,1924,Austria,AUT,2,1,0,3,https://i.postimg.cc/PrbP2r6N/1924.png
1924 Winter Olympics,29,1924,Switzerland,SUI,2,0,1,3,https://i.postimg.cc/PrbP2r6N/1924.png
1924 Winter Olympics,29,1924,United States,USA,1,2,1,4,https://i.postimg.cc/PrbP2r6N/1924.png
1924 Winter Olympics,29,1924,Great Britain,GBR,1,1,2,4,https://i.postimg.cc/PrbP2r6N/1924.png
1924 Winter Olympics,29,1924,Sweden,SWE,1,1,0,2,https://i.postimg.cc/PrbP2r6N/1924.png
1924 Winter Olympics,29,1924,Canada,CAN,1,0,0,1,https://i.postimg.cc/PrbP2r6N/1924.png
1924 Winter Olympics,29,1924,Mixed team,MIX,1,0,0,1,https://i.postimg.cc/PrbP2r6N/1924.png
1924 Winter Olympics,29,1924,France,FRA,0,0,3,3,https://i.postimg.cc/PrbP2r6N/1924.png
1924 Winter Olympics,29,1924,Belgium,BEL,0,0,1,1,https://i.postimg.cc/PrbP2r6N/1924.png
1928 Winter Olympics,30,1928,Norway,NOR,6,4,5,15,https://i.postimg.cc/8zFTF6pr/1928.png
1928 Winter Olympics,30,1928,United States,USA,2,2,2,6,https://i.postimg.cc/8zFTF6pr/1928.png
1928 Winter Olympics,30,1928,Sweden,SWE,2,2,1,5,https://i.postimg.cc/8zFTF6pr/1928.png
1928 Winter Olympics,30,1928,Finland,FIN,2,1,1,4,https://i.postimg.cc/8zFTF6pr/1928.png
1928 Winter Olympics,30,1928,Canada,CAN,1,0,0,1,https://i.postimg.cc/8zFTF6pr/1928.png
1928 Winter Olympics,30,1928,France,FRA,1,0,0,1,https://i.postimg.cc/8zFTF6pr/1928.png
1928 Winter Olympics,30,1928,Austria,AUT,0,3,1,4,https://i.postimg.cc/8zFTF6pr/1928.png
1928 Winter Olympics,30,1928,Belgium,BEL,0,0,1,1,https://i.postimg.cc/8zFTF6pr/1928.png
1928 Winter Olympics,30,1928,Czechoslovakia,TCH,0,0,1,1,https://i.postimg.cc/8zFTF6pr/1928.png
1928 Winter Olympics,30,1928,Germany,GER,0,0,1,1,https://i.postimg.cc/8zFTF6pr/1928.png
1928 Winter Olympics,30,1928,Great Britain,GBR,0,0,1,1,https://i.postimg.cc/8zFTF6pr/1928.png
1928 Winter Olympics,30,1928,Switzerland,SUI,0,0,1,1,https://i.postimg.cc/8zFTF6pr/1928.png
1932 Winter Olympics,31,1932,United States,USA,6,4,2,12,https://i.postimg.cc/Zn7hnTXc/1932.png
1932 Winter Olympics,31,1932,Norway,NOR,3,4,3,10,https://i.postimg.cc/Zn7hnTXc/1932.png
1932 Winter Olympics,31,1932,Sweden,SWE,1,2,0,3,https://i.postimg.cc/Zn7hnTXc/1932.png
1932 Winter Olympics,31,1932,Canada,CAN,1,1,5,7,https://i.postimg.cc/Zn7hnTXc/1932.png
1932 Winter Olympics,31,1932,Finland,FIN,1,1,1,3,https://i.postimg.cc/Zn7hnTXc/1932.png
1932 Winter Olympics,31,1932,Austria,AUT,1,1,0,2,https://i.postimg.cc/Zn7hnTXc/1932.png
1932 Winter Olympics,31,1932,France,FRA,1,0,0,1,https://i.postimg.cc/Zn7hnTXc/1932.png
1932 Winter Olympics,31,1932,Switzerland,SUI,0,1,0,1,https://i.postimg.cc/Zn7hnTXc/1932.png
1932 Winter Olympics,31,1932,Germany,GER,0,0,2,2,https://i.postimg.cc/Zn7hnTXc/1932.png
1932 Winter Olympics,31,1932,Hungary,HUN,0,0,1,1,https://i.postimg.cc/Zn7hnTXc/1932.png
1936 Winter Olympics,32,1936,Norway,NOR,7,5,3,15,https://i.postimg.cc/QtqDLgbv/1936.png
1936 Winter Olympics,32,1936,Germany,GER,3,3,0,6,https://i.postimg.cc/QtqDLgbv/1936.png
1936 Winter Olympics,32,1936,Sweden,SWE,2,2,3,7,https://i.postimg.cc/QtqDLgbv/1936.png
1936 Winter Olympics,32,1936,Finland,FIN,1,2,3,6,https://i.postimg.cc/QtqDLgbv/1936.png
1936 Winter Olympics,32,1936,Switzerland,SUI,1,2,0,3,https://i.postimg.cc/QtqDLgbv/1936.png
1936 Winter Olympics,32,1936,Austria,AUT,1,1,2,4,https://i.postimg.cc/QtqDLgbv/1936.png
1936 Winter Olympics,32,1936,Great Britain,GBR,1,1,1,3,https://i.postimg.cc/QtqDLgbv/1936.png
1936 Winter Olympics,32,1936,United States,USA,1,0,3,4,https://i.postimg.cc/QtqDLgbv/1936.png
1936 Winter Olympics,32,1936,Canada,CAN,0,1,0,1,https://i.postimg.cc/QtqDLgbv/1936.png
1936 Winter Olympics,32,1936,France,FRA,0,0,1,1,https://i.postimg.cc/QtqDLgbv/1936.png
1936 Winter Olympics,32,1936,Hungary,HUN,0,0,1,1,https://i.postimg.cc/QtqDLgbv/1936.png
1948 Winter Olympics,33,1948,Norway,NOR,4,3,3,10,https://i.postimg.cc/g2fm32jt/1948.png
1948 Winter Olympics,33,1948,Sweden,SWE,4,3,3,10,https://i.postimg.cc/g2fm32jt/1948.png
1948 Winter Olympics,33,1948,Switzerland,SUI,3,4,3,10,https://i.postimg.cc/g2fm32jt/1948.png
1948 Winter Olympics,33,1948,United States,USA,3,4,2,9,https://i.postimg.cc/g2fm32jt/1948.png
1948 Winter Olympics,33,1948,France,FRA,2,1,2,5,https://i.postimg.cc/g2fm32jt/1948.png
1948 Winter Olympics,33,1948,Canada,CAN,2,0,1,3,https://i.postimg.cc/g2fm32jt/1948.png
1948 Winter Olympics,33,1948,Austria,AUT,1,3,4,8,https://i.postimg.cc/g2fm32jt/1948.png
1948 Winter Olympics,33,1948,Finland,FIN,1,3,2,6,https://i.postimg.cc/g2fm32jt/1948.png
1948 Winter Olympics,33,1948,Belgium,BEL,1,1,0,2,https://i.postimg.cc/g2fm32jt/1948.png
1948 Winter Olympics,33,1948,Italy,ITA,1,0,0,1,https://i.postimg.cc/g2fm32jt/1948.png
1948 Winter Olympics,33,1948,Czechoslovakia,TCH,0,1,0,1,https://i.postimg.cc/g2fm32jt/1948.png
1948 Winter Olympics,33,1948,Hungary,HUN,0,1,0,1,https://i.postimg.cc/g2fm32jt/1948.png
1948 Winter Olympics,33,1948,Great Britain,GBR,0,0,2,2,https://i.postimg.cc/g2fm32jt/1948.png
1952 Winter Olympics,34,1952,Norway,NOR,7,3,6,16,https://i.postimg.cc/pdzxCMnW/1952.png
1952 Winter Olympics,34,1952,United States,USA,4,6,1,11,https://i.postimg.cc/pdzxCMnW/1952.png
1952 Winter Olympics,34,1952,Finland,FIN,3,4,2,9,https://i.postimg.cc/pdzxCMnW/1952.png
1952 Winter Olympics,34,1952,Germany,GER,3,2,2,7,https://i.postimg.cc/pdzxCMnW/1952.png
1952 Winter Olympics,34,1952,Austria,AUT,2,4,2,8,https://i.postimg.cc/pdzxCMnW/1952.png
1952 Winter Olympics,34,1952,Canada,CAN,1,0,1,2,https://i.postimg.cc/pdzxCMnW/1952.png
1952 Winter Olympics,34,1952,Italy,ITA,1,0,1,2,https://i.postimg.cc/pdzxCMnW/1952.png
1952 Winter Olympics,34,1952,Great Britain,GBR,1,0,0,1,https://i.postimg.cc/pdzxCMnW/1952.png
1952 Winter Olympics,34,1952,Netherlands,NED,0,3,0,3,https://i.postimg.cc/pdzxCMnW/1952.png
1952 Winter Olympics,34,1952,Sweden,SWE,0,0,4,4,https://i.postimg.cc/pdzxCMnW/1952.png
1952 Winter Olympics,34,1952,Switzerland,SUI,0,0,2,2,https://i.postimg.cc/pdzxCMnW/1952.png
1952 Winter Olympics,34,1952,France,FRA,0,0,1,1,https://i.postimg.cc/pdzxCMnW/1952.png
1952 Winter Olympics,34,1952,Hungary,HUN,0,0,1,1,https://i.postimg.cc/pdzxCMnW/1952.png
1956 Winter Olympics,35,1956,Soviet Union,URS,7,3,6,16,https://i.postimg.cc/qRrrZD88/1956.png
1956 Winter Olympics,35,1956,Austria,AUT,4,3,4,11,https://i.postimg.cc/qRrrZD88/1956.png
1956 Winter Olympics,35,1956,Finland,FIN,3,3,1,7,https://i.postimg.cc/qRrrZD88/1956.png
1956 Winter Olympics,35,1956,Switzerland,SUI,3,2,1,6,https://i.postimg.cc/qRrrZD88/1956.png
1956 Winter Olympics,35,1956,Sweden,SWE,2,4,4,10,https://i.postimg.cc/qRrrZD88/1956.png
1956 Winter Olympics,35,1956,United States,USA,2,3,2,7,https://i.postimg.cc/qRrrZD88/1956.png
1956 Winter Olympics,35,1956,Norway,NOR,2,1,1,4,https://i.postimg.cc/qRrrZD88/1956.png
1956 Winter Olympics,35,1956,Italy,ITA,1,2,0,3,https://i.postimg.cc/qRrrZD88/1956.png
1956 Winter Olympics,35,1956,Germany,GER,1,0,1,2,https://i.postimg.cc/qRrrZD88/1956.png
1956 Winter Olympics,35,1956,Canada,CAN,0,1,2,3,https://i.postimg.cc/qRrrZD88/1956.png
1956 Winter Olympics,35,1956,Japan,JPN,0,1,0,1,https://i.postimg.cc/qRrrZD88/1956.png
1956 Winter Olympics,35,1956,Hungary,HUN,0,0,1,1,https://i.postimg.cc/qRrrZD88/1956.png
1956 Winter Olympics,35,1956,Poland,POL,0,0,1,1,https://i.postimg.cc/qRrrZD88/1956.png
1960 Winter Olympics,36,1960,Soviet Union,URS,7,5,9,21,https://i.postimg.cc/L56pmqQ5/1960.png
1960 Winter Olympics,36,1960,Germany,GER,4,3,1,8,https://i.postimg.cc/L56pmqQ5/1960.png
1960 Winter Olympics,36,1960,United States,USA,3,4,3,10,https://i.postimg.cc/L56pmqQ5/1960.png
1960 Winter Olympics,36,1960,Norway,NOR,3,3,0,6,https://i.postimg.cc/L56pmqQ5/1960.png
1960 Winter Olympics,36,1960,Sweden,SWE,3,2,2,7,https://i.postimg.cc/L56pmqQ5/1960.png
1960 Winter Olympics,36,1960,Finland,FIN,2,3,3,8,https://i.postimg.cc/L56pmqQ5/1960.png
1960 Winter Olympics,36,1960,Canada,CAN,2,1,1,4,https://i.postimg.cc/L56pmqQ5/1960.png
1960 Winter Olympics,36,1960,Switzerland,SUI,2,0,0,2,https://i.postimg.cc/L56pmqQ5/1960.png
1960 Winter Olympics,36,1960,Austria,AUT,1,2,3,6,https://i.postimg.cc/L56pmqQ5/1960.png
1960 Winter Olympics,36,1960,France,FRA,1,0,2,3,https://i.postimg.cc/L56pmqQ5/1960.png
1960 Winter Olympics,36,1960,Netherlands,NED,0,1,1,2,https://i.postimg.cc/L56pmqQ5/1960.png
1960 Winter Olympics,36,1960,Poland,POL,0,1,1,2,https://i.postimg.cc/L56pmqQ5/1960.png
1960 Winter Olympics,36,1960,Czechoslovakia,TCH,0,1,0,1,https://i.postimg.cc/L56pmqQ5/1960.png
1960 Winter Olympics,36,1960,Italy,ITA,0,0,1,1,https://i.postimg.cc/L56pmqQ5/1960.png
1964 Winter Olympics,37,1964,Soviet Union,URS,11,8,6,25,https://i.postimg.cc/h4pnprhd/1964.png
1964 Winter Olympics,37,1964,Austria,AUT,4,5,3,12,https://i.postimg.cc/h4pnprhd/1964.png
1964 Winter Olympics,37,1964,Norway,NOR,3,6,6,15,https://i.postimg.cc/h4pnprhd/1964.png
1964 Winter Olympics,37,1964,Finland,FIN,3,4,3,10,https://i.postimg.cc/h4pnprhd/1964.png
1964 Winter Olympics,37,1964,France,FRA,3,4,0,7,https://i.postimg.cc/h4pnprhd/1964.png
1964 Winter Olympics,37,1964,Germany,GER,3,3,3,9,https://i.postimg.cc/h4pnprhd/1964.png
1964 Winter Olympics,37,1964,Sweden,SWE,3,3,1,7,https://i.postimg.cc/h4pnprhd/1964.png
1964 Winter Olympics,37,1964,United States,USA,1,2,4,7,https://i.postimg.cc/h4pnprhd/1964.png
1964 Winter Olympics,37,1964,Canada,CAN,1,1,1,3,https://i.postimg.cc/h4pnprhd/1964.png
